game_id,game_fmt
classic-2006.7-1963,.xml
classic-2005.10-8096,.xml
classic-2006.0-6253,.xml
classic-2006.4-493,.xml
classic-2005.11-2866,.xml
classic-2006.1-4268,.xml
classic-2006.0-3984,.xml
classic-2006.0-2251,.xml
classic-2006.0-5396,.xml
classic-2014.10-2553,.xml
classic-2005.11-5607,.xml
classic-2006.4-5358,.xml
ultimate_lightning-2006.0-3057,.xml
classic-2005.10-5084,.xml
classic.2003.07.04.165,.gsn
classic-2005.9-1170,.xml
classic-2014.3-1543,.xml
classic-2006.2-2999,.xml
classic-2005.9-723,.xml
classic-2006.7-2,.xml
classic-2014.5-662,.xml
classic-2006.0-3351,.xml
classic.2003.06.09.317,.gsn
classic.2003.09.03.2046,.gsn
classic-2006.0-6954,.xml
classic-2006.4-6690,.xml
classic-2006.0-3462,.xml
classic-2006.2-86,.xml
classic-2005.11-6907,.xml
classic-2014.0-2705,.xml
classic.2003.12.28.1614,.gsn
classic-2014.7-1016,.xml
classic-2005.10-30,.xml
classic.2003.09.03.5895,.gsn
classic-2006.1-3346,.xml
barrage-2006.1-9146,.xml
classic-2006.0-5462,.xml
classic-2005.11-2451,.xml
classic-2006.4-6505,.xml
classic-2014.10-509,.xml
classic-2006.4-2044,.xml
classic-2013.11-1022,.xml
classic-2006.1-763,.xml
classic-2005.11-7420,.xml
classic-2015.2-1634,.xml
classic-2014.1-2649,.xml
classic-2006.1-5779,.xml
classic-2006.1-3627,.xml
classic-2005.9-3567,.xml
classic-2005.11-103,.xml
classic-2006.1-2791,.xml
barrage-2005.9-7280,.xml
classic-2006.0-3957,.xml
classic-2014.8-846,.xml
classic-2006.5-3408,.xml
classic-2014.3-1169,.xml
classic-2005.9-880,.xml
ultimate.2003.12.27.3636,.gsn
classic-2006.5-6138,.xml
classic-2006.0-1966,.xml
classic.2003.07.24.21,.gsn
