game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
ultimate_lightning-2005.9-2350,.xml,ultimate lightning,AAAAAAAAAAGFLHKDAAAAFBMBCEDAAAGHIEJDDAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAARSPTPUTWPNPRSQXQVONY,99,Player 1,Player 2,1,1
ultimate.2003.05.31.349,.gsn,ultimate lightning,ADFMEEAADAADHABBAHDAAALAAICAAJAGAAFAKAAGAA__AA__AAAA__AA__AASAPASAPARAWAUAXATAVAPAOATANARAPAQAYANAQA,174,red,blue,1,2
ultimate.2003.10.19.6064,.gsn,ultimate lightning,EEAADDAABMFHAAADAHFBAAAAAAAAAKIGACJDAALGAA__AA__AAAA__AA__AAAPAAXAAAPAAWANPANVAASAQAORARPSATAYQAUATA,109,red,blue,1,1
ultimate_lightning-2006.1-7006,.xml,ultimate lightning,DFAAAAAABMDAAAAAAAABDHCAAAAAJFDAKIGELHGEAA__AA__AAAA__AA__AAAAAAAAAAAATAWSAVATARAQPSPAPNNPAAUAOXQRYA,108,Player 1,Player 2,1,2
ultimate_lightning-2014.7-1198,.xml,ultimate lightning,AADAEABFEMADAADDAAABAAAAAAAHAKGAHJAFLCIGAA__AA__AAAA__AA__AASQAWSAAURAXVPAAAAANATRPQTAAAAAYNPPOAAAAA,153,Player 1,Player 2,3,1
ultimate.2003.08.31.3812,.gsn,ultimate lightning,DBFEAADAAAAIAAAAMBADAAKCEFJAADAGAAHAGLAHAA__AA__AAAA__AA__AARXAVSWQAUSAAAAAAAAAANAARQPYAAPTOAAPNAAPT,16,red,blue,1,2
ultimate.2003.12.15.4315,.gsn,ultimate lightning,AAAGBFCBFAAALAHAAAAAAGAADEMJDAAKADHEDAIAAA__AA__AAAA__AA__AASSOAVXATWQARAANATAAAAAAAAPAAPUPRAAAPQNAY,60,red,blue,3,2
ultimate_lightning-2005.10-4321,.xml,ultimate lightning,MEDBAADBEFGIADAAHKAGALCAFAADAAAAAHAAJAAAAA__AA__AAAA__AA__AAAAAAAAAAAASPTTPRXOSWAAAAAAAAAAQVNNPUQYRP,192,Player 1,Player 2,3,2
ultimate.2003.06.12.715,.gsn,ultimate lightning,AAAAFBEMFBAAGDAACIEAAAKAADJAAHADAAGLAADHAA__AA__AAAA__AA__AAXTAAAAAAAQRVAPTAPOWAYQRAAAAASANUNSAPAAPA,84,red,blue,1,2
ultimate_lightning-2005.10-6537,.xml,ultimate lightning,AAAAEMBEAAIAAADGCAAJFBDAAAAAGDAFAHKLHADAAA__AA__AAAA__AA__AAQSTAAAAAAARWXAAAAAAAAPOTAASAAAPYUNVQNPRP,66,Player 1,Player 2,1,2
ultimate_lightning-2006.1-6994,.xml,ultimate lightning,GEBMCDFGEDDDBKJHLIHFAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAVXAAASAUSAPATAWAAAAAAPOAAATARAYQAQPPRNAN,82,Player 1,Player 2,3,2
